symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2023-07-31 00:00:00+00:00,196.45,196.49,195.26,196.06,38824113,195.4173182,195.457108,194.2335737,195.0293684,38824113,0,1
AAPL,2023-08-01 00:00:00+00:00,195.605,196.73,195.28,196.235,35281426,194.5767602,195.6958464,194.2534686,195.2034484,35281426,0,1
AAPL,2023-08-02 00:00:00+00:00,192.58,195.18,191.8507,195.04,50389327,191.5676617,194.1539943,190.8421954,194.0147302,50389327,0,1
AAPL,2023-08-03 00:00:00+00:00,191.17,192.37,190.69,191.57,62243282,190.1650737,191.3587656,189.6875969,190.562971,62243282,0,1
AAPL,2023-08-04 00:00:00+00:00,181.99,187.38,181.92,185.52,115956841,181.0333303,186.3949966,180.9636983,184.5447741,115956841,0,1
AAPL,2023-08-07 00:00:00+00:00,178.85,183.13,177.35,182.13,97576069,177.9098364,182.1673377,176.4177215,181.1725944,97576069,0,1
AAPL,2023-08-08 00:00:00+00:00,179.8,180.27,177.58,179.69,67823003,178.8548425,179.3223719,176.6465125,178.7454208,67823003,0,1
AAPL,2023-08-09 00:00:00+00:00,178.19,180.93,177.01,180.87,60378492,177.2533059,179.9789025,176.0795088,179.9192179,60378492,0,1
AAPL,2023-08-10 00:00:00+00:00,177.97,180.75,177.6,179.48,54686851,177.0344623,179.7998487,176.6664073,178.5365247,54686851,0,1
AAPL,2023-08-11 00:00:00+00:00,177.79,178.62,176.55,177.32,52036672,177.0941469,177.9208984,175.8590002,176.6259865,52036672,0.24,1
AAPL,2023-08-14 00:00:00+00:00,179.46,179.69,177.305,177.97,43675627,178.7576107,178.9867105,176.6110452,177.2734424,43675627,0,1
AAPL,2023-08-15 00:00:00+00:00,177.45,179.48,177.05,178.88,43622593,176.7554777,178.7775324,176.3570432,178.1798808,43622593,0,1
AAPL,2023-08-16 00:00:00+00:00,176.57,178.54,176.5,177.13,46964857,175.8789219,177.8412115,175.8091959,176.4367301,46964857,0,1
AAPL,2023-08-17 00:00:00+00:00,174,177.5054,173.48,177.14,66062882,173.3189806,176.8106608,172.8010159,176.446691,66062882,0,1
AAPL,2023-08-18 00:00:00+00:00,174.49,175.1,171.96,172.3,61172150,173.8070628,174.4146753,171.286965,171.6256343,61172150,0,1
AAPL,2023-08-21 00:00:00+00:00,175.84,176.13,173.735,175.07,46311879,175.151779,175.440644,173.0550178,174.3847928,46311879,0,1
AAPL,2023-08-22 00:00:00+00:00,177.23,177.68,176.25,177.06,42084245,176.5363387,176.9845775,175.5601743,176.3670041,42084245,0,1
AAPL,2023-08-23 00:00:00+00:00,181.12,181.55,178.325,178.52,52722752,180.4111136,180.8394307,177.627053,177.8212898,52722752,0,1
AAPL,2023-08-24 00:00:00+00:00,176.38,181.104,176.01,180.674,54945798,175.6896655,180.3951763,175.3211137,179.9668592,54945798,0,1
AAPL,2023-08-25 00:00:00+00:00,178.61,179.15,175.82,177.38,51449594,177.9109375,178.448824,175.1318573,176.6857516,51449594,0,1
AAPL,2023-08-28 00:00:00+00:00,180.19,180.59,178.545,180.09,43820697,179.4847536,179.883188,177.8461919,179.385145,43820697,0,1
AAPL,2023-08-29 00:00:00+00:00,184.12,184.9,179.5,179.695,53003948,183.3993719,184.1763191,178.7974542,178.9916909,53003948,0,1
AAPL,2023-08-30 00:00:00+00:00,187.65,187.85,184.74,184.94,60813888,186.9155558,187.1147731,184.0169453,184.2161625,60813888,0,1
AAPL,2023-08-31 00:00:00+00:00,187.87,189.12,187.48,187.84,60794467,187.1346948,188.3798024,186.7462212,187.1048122,60794467,0,1
AAPL,2023-09-01 00:00:00+00:00,189.46,189.92,188.28,189.485,45766503,188.7184717,189.1766713,187.5430901,188.7433738,45766503,0,1
AAPL,2023-09-05 00:00:00+00:00,189.7,189.98,187.61,188.28,45280027,188.9575323,189.2364364,186.8757124,187.5430901,45280027,0,1
AAPL,2023-09-06 00:00:00+00:00,182.91,188.85,181.47,188.4,81755816,182.1941077,188.1108592,180.7597438,187.6626204,81755816,0,1
AAPL,2023-09-07 00:00:00+00:00,177.56,178.21,173.54,175.18,112488803,176.8650471,177.5125031,172.860781,174.4943622,112488803,0,1
AAPL,2023-09-08 00:00:00+00:00,178.18,180.239,177.79,178.35,65602066,177.4826205,179.5335618,177.0941469,177.6519551,65602066,0,1
AAPL,2023-09-11 00:00:00+00:00,179.36,180.3,177.34,180.07,58953052,178.6580021,179.594323,176.6459082,179.3652232,58953052,0,1
AAPL,2023-09-12 00:00:00+00:00,176.3,180.13,174.82,179.49,90370192,175.6099787,179.4249884,174.1357712,178.7874933,90370192,0,1
AAPL,2023-09-13 00:00:00+00:00,174.21,177.3,173.98,176.51,84267928,173.5281587,176.6060647,173.2990589,175.8191567,84267928,0,1
AAPL,2023-09-14 00:00:00+00:00,175.74,176.1,173.58,174,60895757,175.0521704,175.4107614,172.9006245,173.3189806,60895757,0,1
AAPL,2023-09-15 00:00:00+00:00,175.01,176.495,173.82,176.48,109259461,174.3250276,175.8042154,173.1396851,175.7892742,109259461,0,1
AAPL,2023-09-18 00:00:00+00:00,177.97,179.38,176.17,176.48,67257573,177.2734424,178.6779238,175.4804875,175.7892742,67257573,0,1
AAPL,2023-09-19 00:00:00+00:00,179.07,179.63,177.13,177.52,51826941,178.3691371,178.9269454,176.4367301,176.8252037,51826941,0,1
AAPL,2023-09-20 00:00:00+00:00,175.49,179.695,175.4,179.26,58436181,174.8031489,178.9916909,174.7135012,178.5583935,58436181,0,1
AAPL,2023-09-21 00:00:00+00:00,173.93,176.3,173.86,174.55,63149116,173.2492546,175.6099787,173.1795286,173.866828,63149116,0,1
AAPL,2023-09-22 00:00:00+00:00,174.79,177.079,174.05,174.67,56725385,174.1058886,176.3859297,173.3687849,173.9863583,56725385,0,1
AAPL,2023-09-25 00:00:00+00:00,176.08,176.97,174.15,174.2,46172740,175.3908397,176.2773563,173.4683935,173.5181979,46172740,0,1
AAPL,2023-09-26 00:00:00+00:00,171.96,175.2,171.66,174.82,64588945,171.286965,174.5142839,170.9881392,174.1357712,64588945,0,1
AAPL,2023-09-27 00:00:00+00:00,170.43,173.04,169.05,172.62,66921808,169.7629533,172.362738,168.3883545,171.9443818,66921808,0,1
AAPL,2023-09-28 00:00:00+00:00,170.69,172.03,167.62,169.34,56294419,170.0219357,171.356691,166.9639513,168.6772194,56294419,0,1
AAPL,2023-09-29 00:00:00+00:00,171.21,173.07,170.341,172.02,51861083,170.5399004,172.3926206,169.6743016,171.3467302,51861083,0,1
AAPL,2023-10-02 00:00:00+00:00,173.75,174.3,170.93,171.22,52164535,173.0699591,173.6178065,170.2609963,170.5498613,52164535,0,1
AAPL,2023-10-03 00:00:00+00:00,172.4,173.63,170.82,172.255,49594613,171.7252429,172.9504288,170.1514268,171.5808104,49594613,0,1
AAPL,2023-10-04 00:00:00+00:00,173.66,174.21,170.97,171.09,53020286,172.9803114,173.5281587,170.3008398,170.4203701,53020286,0,1
AAPL,2023-10-05 00:00:00+00:00,174.91,175.45,172.68,173.79,48527918,174.225419,174.7633055,172.004147,173.1098026,48527918,0,1
AAPL,2023-10-06 00:00:00+00:00,177.49,177.99,173.18,173.8,57266675,176.7953211,177.2933642,172.50219,173.1197634,57266675,0,1
AAPL,2023-10-09 00:00:00+00:00,178.99,179.05,175.8,176.81,42390772,178.2894503,178.3492154,175.1119356,176.1179826,42390772,0,1
AAPL,2023-10-10 00:00:00+00:00,178.39,179.72,177.95,178.1,43698019,177.6917986,179.0165931,177.2535207,177.4029336,43698019,0,1
AAPL,2023-10-11 00:00:00+00:00,179.8,179.85,177.6,178.2,47551098,179.09628,179.1460843,176.9048906,177.5025422,47551098,0,1
AAPL,2023-10-12 00:00:00+00:00,180.71,182.34,179.04,180.07,56743119,180.0027183,181.6263387,178.3392546,179.3652232,56743119,0,1
AAPL,2023-10-13 00:00:00+00:00,178.85,181.93,178.14,181.42,51456082,178.1499982,181.2179434,177.4427771,180.7099395,51456082,0,1
AAPL,2023-10-16 00:00:00+00:00,178.72,179.075,176.51,176.75,52516984,178.020507,178.3741176,175.8191567,176.0582174,52516984,0,1
AAPL,2023-10-17 00:00:00+00:00,177.15,178.42,174.8,176.645,57549350,176.4566518,177.7216812,174.1158495,175.9536284,57549350,0,1
AAPL,2023-10-18 00:00:00+00:00,175.84,177.575,175.11,175.58,54764375,175.151779,176.8799884,174.4246362,174.8927967,54764375,0,1
AAPL,2023-10-19 00:00:00+00:00,175.46,177.84,175.19,176.04,59302863,174.7732663,177.1439512,174.5043231,175.3509963,59302863,0,1
AAPL,2023-10-20 00:00:00+00:00,172.88,175.42,172.64,175.31,64244028,172.2033642,174.7334229,171.9643035,174.6238534,64244028,0,1
AAPL,2023-10-23 00:00:00+00:00,173,174.01,169.93,170.91,55980109,172.3228945,173.3289415,169.2649102,170.2410746,55980109,0,1
AAPL,2023-10-24 00:00:00+00:00,173.44,173.67,171.45,173.05,43816644,172.7611724,172.9902722,170.7789611,172.3726988,43816644,0,1
AAPL,2023-10-25 00:00:00+00:00,171.1,173.06,170.65,171.88,57156962,170.430331,172.3826597,169.9820922,171.2072781,57156962,0,1
AAPL,2023-10-26 00:00:00+00:00,166.89,171.3775,165.67,170.37,70625258,166.2368085,170.7067448,165.0215835,169.7031881,70625258,0,1
AAPL,2023-10-27 00:00:00+00:00,168.22,168.96,166.83,166.91,58499129,167.561603,168.2987067,166.1770433,166.2567302,58499129,0,1
AAPL,2023-10-30 00:00:00+00:00,170.29,171.17,168.87,169.02,51130955,169.6235012,170.500057,168.209059,168.3584719,51130955,0,1
AAPL,2023-10-31 00:00:00+00:00,170.77,170.9,167.9,169.35,44846017,170.1016225,170.2311137,167.2428554,168.6871803,44846017,0,1
AAPL,2023-11-01 00:00:00+00:00,173.97,174.23,170.12,171,56934906,173.2890981,173.5480804,169.4541666,170.3307223,56934906,0,1
AAPL,2023-11-02 00:00:00+00:00,177.57,177.78,175.46,175.52,77334752,176.875008,177.0841861,174.7732663,174.8330315,77334752,0,1
AAPL,2023-11-03 00:00:00+00:00,176.65,176.82,173.35,174.24,79829246,175.9586088,176.1279434,172.6715247,173.5580413,79829246,0,1
AAPL,2023-11-06 00:00:00+00:00,179.23,179.43,176.21,176.38,63841310,178.5285109,178.7277281,175.5203309,175.6896655,63841310,0,1
AAPL,2023-11-07 00:00:00+00:00,181.82,182.44,178.97,179.18,70529966,181.1083739,181.7259473,178.2695285,178.4787066,70529966,0,1
AAPL,2023-11-08 00:00:00+00:00,182.89,183.45,181.59,182.35,49340282,182.174186,182.7319942,180.8792741,181.6362995,49340282,0,1
